ticker,tag
SAM,"['INDUS', 'STEEL']"
SAMART,"['TECH', 'ICT']"
SAMCO,"['PROPCON', 'PROP']"
SAMTEL,"['TECH', 'ICT']"
SANKO,"['MAI', 'INDUS-m', 'INDUS-ms']"
SAPPE,"['AGRO', 'FOOD']"
SAT,"['INDUS', 'AUTO']"
SAUCE,"['AGRO', 'FOOD']"
SAWAD,"['FINCIAL', 'FIN', 'SET50', 'SET100', 'SETHD']"
SAWANG,"['CONSUMP', 'FASHION']"
SC,"['PROPCON', 'PROP']"
SCAP,"['FINCIAL', 'FIN']"
SCB,"['FINCIAL', 'BANK', 'SET50', 'SET100']"
SCC,"['PROPCON', 'CONMAT', 'SET50', 'SET100', 'SETHD']"
SCCC,"['PROPCON', 'CONMAT']"
SCG,"['RESOURC', 'ENERG']"
SCGP,"['INDUS', 'PKG', 'SET50', 'SET100']"
SCI,"['RESOURC', 'ENERG']"
SCM,"['SERVICE', 'COMM']"
SCN,"['RESOURC', 'ENERG']"
SCP,"['PROPCON', 'CONMAT']"
SDC,"['TECH', 'ICT']"
SE,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
ED,"['SERVICE', 'MEDIA']"
SEAFCO,"['PROPCON', 'CONS']"
SEAOIL,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
SECURE,"['MAI', 'TECH-m', 'TECH-ms']"
SELIC,"['MAI', 'INDUS-m', 'INDUS-ms']"
SENA,"['PROPCON', 'PROP']"
SENAJ,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
SFLEX,"['INDUS', 'PKG']"
SFP,"['AGRO', 'FOOD']"
SFT,"['MAI', 'INDUS-m', 'INDUS-ms']"
SGC,"['FINCIAL', 'FIN']"
SGF,"['MAI', 'FINCIAL-m', 'FINCIAL-ms']"
SGP,"['RESOURC', 'ENERG']"
SHANG,"['SERVICE', 'TOURISM']"
SHR,"['SERVICE', 'TOURISM']"
SIAM,"['CONSUMP', 'HOME']"
SICT,"['MAI', 'TECH-m', 'TECH-ms']"
SIMAT,"['MAI', 'TECH-m', 'TECH-ms']"
SINGER,"['SERVICE', 'COMM', 'SET100']"
SIRI,"['PROPCON', 'PROP']"
SIS,"['TECH', 'ICT']"
SISB,"['SERVICE', 'PROF']"
SITHAI,"['INDUS', 'PKG']"
SJWD,"['SERVICE', 'TRANS', 'SET100']"
SK,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
SKE,"['RESOURC', 'ENERG']"
SKN,"['PROPCON', 'CONMAT']"
SKR,"['SERVICE', 'HELTH']"
SKY,"['TECH', 'ICT']"
SLM,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
SLP,"['INDUS', 'PKG']"
SM,"['FINCIAL', 'FIN']"
SMART,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
SMD,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
SMIT,"['INDUS', 'STEEL']"
SMK,"['FINCIAL', 'INSUR']"
SMPC,"['INDUS', 'PKG']"
SMT,"['TECH', 'ETRON']"
SNC,"['INDUS', 'IMM']"
SNNP,"['AGRO', 'FOOD']"
SNP,"['AGRO', 'FOOD']"
SO,"['SERVICE', 'PROF']"
SOLAR,"['RESOURC', 'ENERG']"
SONIC,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
SORKON,"['AGRO', 'FOOD']"
SPA,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
SPACK,"['INDUS', 'PKG']"
SPALI,"['PROPCON', 'PROP', 'SET100', 'SETHD']"
SPC,"['SERVICE', 'COMM']"
SPCG,"['RESOURC', 'ENERG']"
SPG,"['INDUS', 'AUTO']"
SPI,"['SERVICE', 'COMM']"
SPRC,"['RESOURC', 'ENERG', 'SET100']"
SPVI,"['MAI', 'TECH-m', 'TECH-ms']"
SQ,"['PROPCON', 'CONS']"
SR,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
SRICHA,"['PROPCON', 'CONS']"
SSC,"['AGRO', 'FOOD']"
SSF,"['AGRO', 'FOOD']"
SSP,"['RESOURC', 'ENERG']"
SSS,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
SSSC,"['INDUS', 'STEEL']"
SST,"['AGRO', 'FOOD']"
STA,"['AGRO', 'AGRI', 'SET100']"
STANLY,"['INDUS', 'AUTO']"
STARK,"['INDUS', 'IMM', 'SET100']"
STC,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
STEC,"['PROPCON', 'CONS']"
STECH,"['PROPCON', 'CONMAT']"
STGT,"['CONSUMP', 'PERSON', 'SET100']"
STHAI,"['CONSUMP', 'PERSON']"
STI,"['PROPCON', 'CONS']"
STOWER,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
STP,"['MAI', 'INDUS-m', 'INDUS-ms']"
STPI,"['PROPCON', 'CONS']"
SUC,"['CONSUMP', 'FASHION']"
SUN,"['AGRO', 'FOOD']"
SUPER,"['RESOURC', 'ENERG']"
SUSCO,"['RESOURC', 'ENERG']"
SUTHA,"['INDUS', 'PETRO']"
SVI,"['TECH', 'ETRON']"
SVOA,"['TECH', 'ICT']"
SVR,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
SVT,"['SERVICE', 'COMM']"
SWC,"['MAI', 'INDUS-m', 'INDUS-ms']"
SYMC,"['TECH', 'ICT']"
SYNEX,"['TECH', 'ICT']"
SYNTEC,"['PROPCON', 'CONS']"
TACC,"['MAI', 'AGRO-m', 'AGRO-ms']"
TAE,"['RESOURC', 'ENERG']"
TAKUNI,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
TAPAC,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
TASCO,"['PROPCON', 'CONMAT']"
TC,"['AGRO', 'FOOD']"
TCAP,"['FINCIAL', 'BANK', 'SET100', 'SETHD']"
TCC,"['RESOURC', 'ENERG']"
TCCC,"['INDUS', 'PETRO']"
TCJ,"['INDUS', 'IMM']"
TCMC,"['CONSUMP', 'HOME']"
TCOAT,"['INDUS', 'PKG']"
TEAM,"['TECH', 'ETRON']"
TEAMG,"['PROPCON', 'CONS']"
TEGH,"['AGRO', 'AGRI']"
TEKA,"['PROPCON', 'CONS']"
TFG,"['AGRO', 'FOOD']"
TFI,"['INDUS', 'PKG']"
TFM,"['AGRO', 'AGRI']"
TFMAMA,"['AGRO', 'FOOD']"
TGE,"['RESOURC', 'ENERG']"
TGH,"['FINCIAL', 'INSUR']"
TGPRO,"['INDUS', 'STEEL']"
TH,"['FINCIAL', 'FIN']"
THAI,"['SERVICE', 'TRANS']"
THANA,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
THANI,"['FINCIAL', 'FIN', 'SET100', 'SETHD']"
THCOM,"['TECH', 'ICT']"
THE,"['INDUS', 'STEEL']"
THG,"['SERVICE', 'HELTH', 'SET100']"
THIP,"['INDUS', 'PKG']"
THL,"['RESOURC', 'MINE']"
THMUI,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
THRE,"['FINCIAL', 'INSUR']"
THREL,"['FINCIAL', 'INSUR']"
TIDLOR,"['FINCIAL', 'FIN', 'SET50', 'SET100']"
TIGER,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
TIPCO,"['AGRO', 'FOOD']"
TIPH,"['FINCIAL', 'INSUR', 'SET100']"
TISCO,"['FINCIAL', 'BANK', 'SET50', 'SET100', 'SETHD']"
TITLE,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
TK,"['FINCIAL', 'FIN']"
TKC,"['TECH', 'ICT']"
TKN,"['AGRO', 'FOOD']"
TKS,"['SERVICE', 'MEDIA']"
TKT,"['INDUS', 'AUTO']"
TLI,"['FINCIAL', 'INSUR']"
TM,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
TMC,"['MAI', 'INDUS-m', 'INDUS-ms']"
TMD,"['INDUS', 'PKG']"
TMI,"['MAI', 'INDUS-m', 'INDUS-ms']"
TMILL,"['MAI', 'AGRO-m', 'AGRO-ms']"
TMT,"['INDUS', 'STEEL']"
TMW,"['MAI', 'INDUS-m', 'INDUS-ms']"
TNDT,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
TNH,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
TNITY,"['FINCIAL', 'FIN']"
TNL,"['CONSUMP', 'FASHION']"
TNP,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
TNPC,"['INDUS', 'AUTO']"
TNR,"['CONSUMP', 'PERSON']"
TOA,"['PROPCON', 'CONMAT']"
TOG,"['CONSUMP', 'PERSON']"
TOP,"['RESOURC', 'ENERG', 'SET50', 'SET100']"
TOPP,"['INDUS', 'PKG']"
TPA,"['INDUS', 'PETRO']"
TPAC,"['INDUS', 'PKG']"
TPBI,"['INDUS', 'PKG']"
TPCH,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
TPCS,"['INDUS', 'IMM']"
TPIPL,"['PROPCON', 'CONMAT']"
TPIPP,"['RESOURC', 'ENERG']"
TPLAS,"['MAI', 'INDUS-m', 'INDUS-ms']"
TPOLY,"['PROPCON', 'CONS']"
TPP,"['INDUS', 'PKG']"
TPS,"['MAI', 'TECH-m', 'TECH-ms']"
TQM,"['FINCIAL', 'INSUR', 'SET100']"
TQR,"['MAI', 'FINCIAL-m', 'FINCIAL-ms']"
TR,"['CONSUMP', 'FASHION']"
TRC,"['PROPCON', 'CONS']"
TRITN,"['PROPCON', 'CONS']"
TRT,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
TRU,"['INDUS', 'AUTO']"
TRUBB,"['AGRO', 'AGRI']"
TRUE,"['TECH', 'ICT', 'SET50', 'SET100']"
TRV,"['MAI', 'INDUS-m', 'INDUS-ms']"
TSC,"['INDUS', 'AUTO']"
TSE,"['RESOURC', 'ENERG']"
TSF,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
TSI,"['FINCIAL', 'INSUR']"
TSR,"['CONSUMP', 'HOME']"
TSTE,"['SERVICE', 'TRANS']"
TSTH,"['INDUS', 'STEEL']"
TTA,"['SERVICE', 'TRANS']"
TTB,"['FINCIAL', 'BANK', 'SET50', 'SET100', 'SETHD']"
TTCL,"['PROPCON', 'CONS']"
TTI,"['CONSUMP', 'FASHION']"
TTT,"['CONSUMP', 'FASHION']"
TTW,"['RESOURC', 'ENERG']"
TU,"['AGRO', 'FOOD', 'SET50', 'SET100', 'SETHD']"
TVDH,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
TVI,"['FINCIAL', 'INSUR']"
TVO,"['AGRO', 'FOOD']"
TVT,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
TWP,"['INDUS', 'STEEL']"
TWPC,"['AGRO', 'AGRI']"
TWZ,"['TECH', 'ICT']"
TYCN,"['INDUS', 'STEEL']"
UAC,"['INDUS', 'PETRO']"
UBA,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
UBE,"['RESOURC', 'ENERG']"
UBIS,"['MAI', 'INDUS-m', 'INDUS-ms']"
UEC,"['MAI', 'INDUS-m', 'INDUS-ms']"
UKEM,"['MAI', 'INDUS-m', 'INDUS-ms']"
UMI,"['PROPCON', 'CONMAT']"
UMS,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
UNIQ,"['PROPCON', 'CONS']"
UOBKH,"['FINCIAL', 'FIN']"
UP,"['INDUS', 'PETRO']"
UPF,"['CONSUMP', 'FASHION']"
UPOIC,"['AGRO', 'AGRI']"
UREKA,"['MAI', 'INDUS-m', 'INDUS-ms']"
UTP,"['INDUS', 'PAPER']"
UV,"['PROPCON', 'PROP']"
UVAN,"['AGRO', 'AGRI']"
VARO,"['INDUS', 'IMM']"
VCOM,"['MAI', 'TECH-m', 'TECH-ms']"
VGI,"['SERVICE', 'MEDIA', 'SET100']"
VIBHA,"['SERVICE', 'HELTH']"
VIH,"['SERVICE', 'HELTH']"
VL,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
VNG,"['PROPCON', 'CONMAT']"
VPO,"['AGRO', 'AGRI']"
VRANDA,"['SERVICE', 'TOURISM']"
W,"['AGRO', 'FOOD']"
WACOAL,"['CONSUMP', 'FASHION']"
WARRIX,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
WAVE,"['SERVICE', 'MEDIA']"
WFX,"['CONSUMP', 'FASHION']"
WGE,"['PROPCON', 'CONS']"
WHA,"['PROPCON', 'PROP', 'SET100', 'SETHD']"
WHAUP,"['RESOURC', 'ENERG']"
WICE,"['SERVICE', 'TRANS']"
WIIK,"['PROPCON', 'CONMAT']"
WIN,"['PROPCON', 'PROP']"
WINMED,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
WINNER,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
WORK,"['SERVICE', 'MEDIA']"
WP,"['RESOURC', 'ENERG']"
WPH,"['SERVICE', 'HELTH']"
XO,"['MAI', 'AGRO-m', 'AGRO-ms']"
XPG,"['FINCIAL', 'FIN']"
YGG,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
YONG,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
YUASA,"['MAI', 'INDUS-m', 'INDUS-ms']"
ZEN,"['AGRO', 'FOOD']"
ZIGA,"['MAI', 'INDUS-m', 'INDUS-ms']"
