ticker,tag
BUI,"['FINCIAL', 'INSUR']"
BVG,"['MAI', 'TECH-m', 'TECH-ms']"
BWG,"['SERVICE', 'PROF']"
BYD,"['FINCIAL', 'FIN', 'SET100']"
CAZ,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
CBG,"['AGRO', 'FOOD', 'SET50', 'SET100']"
CCET,"['TECH', 'ETRON']"
CCP,"['PROPCON', 'CONMAT']"
CEN,"['INDUS', 'STEEL']"
CENTEL,"['SERVICE', 'TOURISM', 'SET50', 'SET100']"
CEYE,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
CFRESH,"['AGRO', 'FOOD']"
CGD,"['PROPCON', 'PROP']"
CGH,"['FINCIAL', 'FIN']"
CH,"['AGRO', 'FOOD']"
CHARAN,"['FINCIAL', 'INSUR']"
CHASE,"['FINCIAL', 'FIN']"
CHAYO,"['FINCIAL', 'FIN']"
CHEWA,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
CHG,"['SERVICE', 'HELTH', 'SET100', 'SETHD']"
CHIC,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
CHO,"['MAI', 'INDUS-m', 'INDUS-ms']"
CHOTI,"['AGRO', 'FOOD']"
CHOW,"['MAI', 'INDUS-m', 'INDUS-ms']"
CI,"['PROPCON', 'PROP']"
CIG,"['MAI', 'INDUS-m', 'INDUS-ms']"
CIMBT,"['FINCIAL', 'BANK']"
CITY,"['INDUS', 'STEEL']"
CIVIL,"['PROPCON', 'CONS']"
CK,"['PROPCON', 'CONS', 'SET100']"
CKP,"['RESOURC', 'ENERG', 'SET100']"
CM,"['AGRO', 'FOOD']"
CMAN,"['INDUS', 'PETRO']"
CMC,"['PROPCON', 'PROP']"
CMO,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
CMR,"['SERVICE', 'HELTH']"
CNT,"['PROPCON', 'CONS']"
COLOR,"['MAI', 'INDUS-m', 'INDUS-ms']"
COM7,"['SERVICE', 'COMM', 'SET50', 'SET100']"
COMAN,"['MAI', 'TECH-m', 'TECH-ms']"
COTTO,"['PROPCON', 'CONMAT']"
CPALL,"['SERVICE', 'COMM', 'SET50', 'SET100']"
CPANEL,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
CPF,"['AGRO', 'FOOD', 'SET50', 'SET100', 'SETHD']"
CPH,"['CONSUMP', 'FASHION']"
CPI,"['AGRO', 'FOOD']"
CPL,"['CONSUMP', 'FASHION']"
CPN,"['PROPCON', 'PROP', 'SET50', 'SET100']"
CPR,"['MAI', 'INDUS-m', 'INDUS-ms']"
CPT,"['INDUS', 'IMM']"
CPW,"['SERVICE', 'COMM']"
CRANE,"['INDUS', 'IMM']"
CRC,"['SERVICE', 'COMM', 'SET50', 'SET100']"
CRD,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
CSC,"['INDUS', 'PKG']"
CSP,"['INDUS', 'STEEL']"
CSR,"['SERVICE', 'TOURISM']"
CSS,"['SERVICE', 'COMM']"
CTW,"['INDUS', 'IMM']"
CV,"['RESOURC', 'ENERG']"
CWT,"['INDUS', 'AUTO']"
D,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
DCC,"['PROPCON', 'CONMAT']"
DCON,"['PROPCON', 'CONMAT']"
DDD,"['CONSUMP', 'PERSON']"
DELTA,"['TECH', 'ETRON', 'SET50', 'SET100']"
DEMCO,"['RESOURC', 'ENERG']"
DEXON,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
DHOUSE,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
DIMET,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
DITTO,"['MAI', 'TECH-m', 'TECH-ms']"
DMT,"['SERVICE', 'TRANS']"
DOD,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
DOHOME,"['SERVICE', 'COMM', 'SET100']"
DPAINT,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
DRT,"['PROPCON', 'CONMAT']"
DTCENT,"['TECH', 'ICT']"
DTCI,"['CONSUMP', 'HOME']"
DUSIT,"['SERVICE', 'TOURISM']"
DV8,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
EA,"['RESOURC', 'ENERG', 'SET50', 'SET100']"
EASON,"['INDUS', 'AUTO']"
EASTW,"['RESOURC', 'ENERG']"
ECF,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
ECL,"['FINCIAL', 'FIN']"
EE,"['AGRO', 'AGRI']"
EFORL,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
EGCO,"['RESOURC', 'ENERG', 'SET50', 'SET100', 'SETHD']"
EKH,"['SERVICE', 'HELTH']"
EMC,"['PROPCON', 'CONS']"
EP,"['RESOURC', 'ENERG']"
EPG,"['PROPCON', 'CONMAT', 'SET100']"
ERW,"['SERVICE', 'TOURISM']"
ESSO,"['RESOURC', 'ENERG', 'SET100']"
ESTAR,"['PROPCON', 'PROP']"
ETC,"['RESOURC', 'ENERG']"
ETE,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
EVER,"['PROPCON', 'PROP']"
D,"['AGRO', 'FOOD']"
FANCY,"['CONSUMP', 'HOME']"
FE,"['SERVICE', 'MEDIA']"
FLOYD,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
FMT,"['INDUS', 'IMM']"
FN,"['SERVICE', 'COMM']"
FNS,"['FINCIAL', 'FIN']"
FORTH,"['TECH', 'ICT', 'SET100']"
FPI,"['MAI', 'INDUS-m', 'INDUS-ms']"
FPT,"['PROPCON', 'PROP']"
FSMART,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
FSS,"['FINCIAL', 'FIN']"
FTE,"['SERVICE', 'COMM']"
FTI,"['CONSUMP', 'HOME']"
FVC,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
GBX,"['FINCIAL', 'FIN']"
GC,"['INDUS', 'PETRO']"
GCAP,"['MAI', 'FINCIAL-m', 'FINCIAL-ms']"
GEL,"['PROPCON', 'CONMAT']"
GENCO,"['SERVICE', 'PROF']"
GFPT,"['AGRO', 'AGRI']"
GGC,"['INDUS', 'PETRO']"
GIFT,"['INDUS', 'PETRO']"
GJS,"['INDUS', 'STEEL']"
GL,"['FINCIAL', 'FIN']"
GLAND,"['PROPCON', 'PROP']"
GLOBAL,"['SERVICE', 'COMM', 'SET50', 'SET100']"
GLOCON,"['AGRO', 'FOOD']"
GLORY,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
GPI,"['SERVICE', 'MEDIA']"
GPSC,"['RESOURC', 'ENERG', 'SET50', 'SET100']"
GRAMMY,"['SERVICE', 'MEDIA']"
GRAND,"['SERVICE', 'TOURISM']"
GREEN,"['RESOURC', 'ENERG']"
GSC,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
GSTEEL,"['INDUS', 'STEEL']"
GTB,"['MAI', 'INDUS-m', 'INDUS-ms']"
GTV,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
GULF,"['RESOURC', 'ENERG', 'SET50', 'SET100']"
GUNKUL,"['RESOURC', 'ENERG', 'SET100', 'SETHD']"
GYT,"['INDUS', 'AUTO']"
HANA,"['TECH', 'ETRON', 'SET100', 'SETHD']"
HARN,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
HEMP,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
HENG,"['FINCIAL', 'FIN']"
HFT,"['INDUS', 'AUTO']"
HL,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
HMPRO,"['SERVICE', 'COMM', 'SET50', 'SET100']"
HPT,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
HTC,"['AGRO', 'FOOD']"
HTECH,"['INDUS', 'IMM']"
HUMAN,"['TECH', 'ICT']"
HYDRO,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
ICC,"['SERVICE', 'COMM']"
ICHI,"['AGRO', 'FOOD']"
ICN,"['MAI', 'TECH-m', 'TECH-ms']"
IFEC,"['RESOURC', 'ENERG']"
IFS,"['FINCIAL', 'FIN']"
IHL,"['INDUS', 'AUTO']"
IIG,"['MAI', 'TECH-m', 'TECH-ms']"
III,"['SERVICE', 'TRANS']"
ILINK,"['TECH', 'ICT']"
ILM,"['SERVICE', 'COMM']"
IMH,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
IND,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
INET,"['TECH', 'ICT']"
INGRS,"['INDUS', 'AUTO']"
INOX,"['INDUS', 'STEEL']"
INSET,"['TECH', 'ICT']"
INSURE,"['FINCIAL', 'INSUR']"
INTUCH,"['TECH', 'ICT', 'SET50', 'SET100', 'SETHD']"
IP,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
IRC,"['INDUS', 'AUTO']"
IRCP,"['MAI', 'TECH-m', 'TECH-ms']"
IRPC,"['RESOURC', 'ENERG', 'SET100']"
IT,"['SERVICE', 'COMM']"
ITC,"['AGRO', 'FOOD']"
ITD,"['PROPCON', 'CONS']"
ITEL,"['TECH', 'ICT']"
ITNS,"['MAI', 'TECH-m', 'TECH-ms']"
ITTHI,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
IVL,"['INDUS', 'PETRO', 'SET50', 'SET100']"
J,"['PROPCON', 'PROP']"
JAK,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
JAS,"['TECH', 'ICT', 'SET100']"
JCK,"['PROPCON', 'PROP']"
JCKH,"['MAI', 'AGRO-m', 'AGRO-ms']"
JCT,"['CONSUMP', 'PERSON']"
JDF,"['AGRO', 'FOOD']"
JKN,"['SERVICE', 'MEDIA']"
JMART,"['TECH', 'ICT', 'SET50', 'SET100']"
JMT,"['FINCIAL', 'FIN', 'SET50', 'SET100']"
JR,"['RESOURC', 'ENERG']"
JSP,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
JTS,"['TECH', 'ICT']"
JUBILE,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
K,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
KAMART,"['SERVICE', 'COMM']"
KASET,"['MAI', 'AGRO-m', 'AGRO-ms']"
KBANK,"['FINCIAL', 'BANK', 'SET50', 'SET100']"
KBS,"['AGRO', 'FOOD']"
KC,"['PROPCON', 'PROP']"
KCAR,"['FINCIAL', 'FIN']"
KCC,"['MAI', 'FINCIAL-m', 'FINCIAL-ms']"
KCE,"['TECH', 'ETRON', 'SET100']"
KCM,"['MAI', 'INDUS-m', 'INDUS-ms']"
KDH,"['SERVICE', 'HELTH']"
KEX,"['SERVICE', 'TRANS', 'SET100']"
KGEN,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
KGI,"['FINCIAL', 'FIN']"
KIAT,"['SERVICE', 'TRANS']"
KISS,"['CONSUMP', 'PERSON']"
KJL,"['MAI', 'INDUS-m', 'INDUS-ms']"
KK,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
KKC,"['INDUS', 'IMM']"
KKP,"['FINCIAL', 'BANK', 'SET100', 'SETHD']"
KLINIQ,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
KOOL,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
KSL,"['AGRO', 'FOOD']"
KTB,"['FINCIAL', 'BANK', 'SET50', 'SET100', 'SETHD']"
KTC,"['FINCIAL', 'FIN', 'SET50', 'SET100']"
KTIS,"['AGRO', 'FOOD']"
KTMS,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
KUMWEL,"['MAI', 'INDUS-m', 'INDUS-ms']"
KUN,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
KWC,"['SERVICE', 'TRANS']"
KWI,"['FINCIAL', 'INSUR']"
KWM,"['MAI', 'INDUS-m', 'INDUS-ms']"
KYE,"['CONSUMP', 'HOME']"
E,"['CONSUMP', 'HOME']"
LALIN,"['PROPCON', 'PROP']"
LANNA,"['RESOURC', 'ENERG']"
LDC,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
LEE,"['AGRO', 'AGRI']"
LEO,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
LH,"['PROPCON', 'PROP', 'SET50', 'SET100', 'SETHD']"
LHFG,"['FINCIAL', 'BANK']"
LHK,"['INDUS', 'STEEL']"
LIT,"['MAI', 'FINCIAL-m', 'FINCIAL-ms']"
LOXLEY,"['SERVICE', 'COMM']"
LPH,"['SERVICE', 'HELTH']"
LPN,"['PROPCON', 'PROP']"
LRH,"['SERVICE', 'TOURISM']"
LST,"['AGRO', 'FOOD']"
M,"['AGRO', 'FOOD']"
CHAI,"['SERVICE', 'HELTH']"
MACO,"['SERVICE', 'MEDIA']"
MAJOR,"['SERVICE', 'MEDIA']"
MAKRO,"['SERVICE', 'COMM']"
MALEE,"['AGRO', 'FOOD']"
MANRIN,"['SERVICE', 'TOURISM']"
MASTER,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
MATCH,"['SERVICE', 'MEDIA']"
MATI,"['SERVICE', 'MEDIA']"
MAX,"['AGRO', 'AGRI']"
MBAX,"['MAI', 'INDUS-m', 'INDUS-ms']"
MBK,"['PROPCON', 'PROP']"
MC,"['SERVICE', 'COMM']"
MCOT,"['SERVICE', 'MEDIA']"
MCS,"['INDUS', 'STEEL']"
MDX,"['RESOURC', 'ENERG']"
MEB,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
MEGA,"['SERVICE', 'COMM', 'SET100']"
MENA,"['SERVICE', 'TRANS']"
META,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
METCO,"['TECH', 'ETRON']"
MFC,"['FINCIAL', 'FIN']"
MFEC,"['TECH', 'ICT']"
MGT,"['MAI', 'INDUS-m', 'INDUS-ms']"
MICRO,"['FINCIAL', 'FIN']"
MIDA,"['SERVICE', 'COMM']"
MILL,"['INDUS', 'STEEL']"
MINT,"['AGRO', 'FOOD', 'SET50', 'SET100']"
MITSIB,"['MAI', 'FINCIAL-m', 'FINCIAL-ms']"
MJD,"['PROPCON', 'PROP']"
MK,"['PROPCON', 'PROP']"
ML,"['FINCIAL', 'FIN']"
MODERN,"['CONSUMP', 'HOME']"
MONO,"['SERVICE', 'MEDIA']"
MOONG,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
MORE,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
MOSHI,"['SERVICE', 'COMM']"
MPIC,"['SERVICE', 'MEDIA']"
MSC,"['TECH', 'ICT']"
MST,"['FINCIAL', 'FIN']"
MTC,"['FINCIAL', 'FIN', 'SET50', 'SET100']"
MTI,"['FINCIAL', 'INSUR']"
MTW,"['MAI', 'INDUS-m', 'INDUS-ms']"
MUD,"['MAI', 'AGRO-m', 'AGRO-ms']"
MVP,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
NATION,"['SERVICE', 'MEDIA']"
NC,"['CONSUMP', 'FASHION']"
NCAP,"['FINCIAL', 'FIN']"
NCH,"['PROPCON', 'PROP']"
NCL,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
NDR,"['MAI', 'INDUS-m', 'INDUS-ms']"
NEP,"['INDUS', 'PKG']"
NER,"['AGRO', 'AGRI']"
NETBAY,"['MAI', 'TECH-m', 'TECH-ms']"
NEW,"['SERVICE', 'HELTH']"
NEWS,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
NEX,"['TECH', 'ETRON', 'SET100']"
NFC,"['INDUS', 'PETRO']"
NINE,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
NKI,"['FINCIAL', 'INSUR']"
NNCL,"['PROPCON', 'PROP']"
NOBLE,"['PROPCON', 'PROP']"
NOK,"['SERVICE', 'TRANS']"
NOVA,"['RESOURC', 'ENERG']"
