sector,sector_weight
Healthcare,18.029500000000002
Technology,15.643900000000002
Consumer Cyclical,12.216600000000001
Industrials,7.9060999999999995
Communication Services,6.361800000000001
Consumer Defensive,5.725100000000001
Financial Services,5.183399999999999
Real Estate,1.6953
Basic Materials,1.6793
Utilities,1.6500999999999997
Energy,1.4582
Other,0.1392
